"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","131859","","351706","","Jaren Kump","UTAH","68","C","623","9","0","7","8","333"
"","131879","","361858","","Tanoa Togiai","UTAH","73","G","675","10","0","6","6","358"
"","131898","","373131","","Geirean Hatchett","WASHINGTON","56","G","608","10","3","13","8","261"
"","131906","","387258","","Gaard Memmelaar","UCF","64","G","276","9","0","1","2","114"
"","131930","","384796","","Fa'alili Fa'amoe","WAKE","79","T","584","9","2","10","12","261"
"","131938","","387186","","Devin Kylany","WAKE","70","C","654","10","0","6","4","292"
"","132433","","359850","","Caleb Carter","MICH STATE","72","G","543","10","4","19","9","230"
"","133127","","393524","","Walter Young Bear","W VIRGINIA","54","G","543","8","1","6","11","308"
"","138220","","365418","","Hunter Zambrano","TEXAS TECH","57","T","57","2","0","0","0","28"
"","138471","","352538","","Tyshawn Wyatt","VIRGINIA","56","T","28","3","0","1","1","17"
"","139059","","352590","","Jabari Brooks","UCF","62","G","414","10","0","6","3","173"
"","141684","","353162","","Austin Leausa","BYU","55","G","391","10","0","5","2","188"
"","141844","","386824","","Bryce Henderson","VANDERBILT","55","T","577","10","2","20","6","233"
"","142181","","353754","","Chubba Maae","ARIZONA","55","G","509","10","0","6","4","212"
"","143063","","379504","","Christo Kelly","N CAROLINA","53","C","19","1","0","0","1","13"
"","143870","","368377","","Justin Pickett","DUKE","77","G","671","10","1","14","10","246"
"","143914","","388515","","Joe Fusile","GA TECH","67","G","481","10","0","7","5","249"
"","143948","","406517","","Ryan Rodriguez","MIAMI FL","76","C","81","10","0","0","0","58"
"","143976","","362396","","Diego Pounds","OLE MISS","61","T","802","11","0","9","7","390"
"","143987","","360368","","Lyndon Cooper","PITTSBURGH","56","C","680","10","3","7","10","242"
"","144020","","361515","","Terrence Enos Jr.","KANSAS ST","74","T","87","7","0","1","0","45"
"","144041","","391813","","Enrique Cruz Jr.","KANSAS","77","T","532","10","2","9","3","243"
"","144103","","385277","","Bob Schick","OKLA STATE","76","G","657","10","1","17","9","291"
"","144121","","367035","","Tristan Leigh","CLEMSON","71","T","411","7","0","11","10","151"
"","144122","","361566","","Ryan Linthicum","CLEMSON","53","C","678","10","1","12","7","268"
"","144133","","367034","","Dietrick Pennington","CLEMSON","59","G","16","7","0","1","1","15"
"","144191","","366086","","Matt Gulbin","MICH STATE","51","C","657","10","2","4","3","276"
"","144205","","383425","","Nick Sharpe","S CAROLINA","52","G","275","6","1","5","4","115"
"","144243","","406078","","Josh Atkins","ARIZONA ST","53","T","673","10","3","14","7","291"
"","144276","","384485","","Mak Pounders","LOUISVILLE","66","T","107","6","0","2","4","49"
"","144516","","372636","","Ryan Lengyel","BAYLOR","62","G","804","10","2","16","5","303"
"","144542","","387506","","Tyler Maro","IOWA STATE","50","T","38","4","0","0","0","27"
"","144544","","387473","","Jim Bonifas","IOWA STATE","63","C","701","10","0","5","10","335"
"","144564","","448785","","Hank Kelly","KANSAS","57","G","14","2","0","0","0","10"
"","144567","","388757","","Corey Robinson II","ARKANSAS","51","T","658","10","0","17","8","284"
"","144599","","384444","","Andrew Leingang","KANSAS ST","56","T","571","10","2","6","8","257"
"","144601","","388797","","Sam Hecht","KANSAS ST","75","C","631","10","0","8","3","289"
"","144626","","367527","","Savion Byrd","SMU","54","T","482","9","0","11","0","186"
"","144756","","373381","","Jacoby Jackson","MISS STATE","75","G","767","11","4","8","10","361"
"","144783","","361992","","Tomas Rimac","VA TECH","55","G","676","10","2","10","6","318"
"","144805","","378668","","Josh Kreutz","ILLINOIS","64","C","590","9","2","10","3","269"
"","144808","","385546","","Josh Gesky","ILLINOIS","73","G","657","10","1","6","7","306"
